,Unnamed: 0,Type,Company,NewGrade,URL,RawText,bow
72,72,Moody,Agile,,https://www.moodys.com/research/Moodys-downgrades-Agile-to-Rating-Action--PR_310317,,
73,73,Fitch,KWG,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kwg-to-ccc-on-rising-refinancing-risks-21-07-2022,,
74,74,Fitch,KWG,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kwg-to-b-maintains-rating-watch-negative-10-06-2022,,
75,75,Fitch,KWG,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-kwg-to-b-maintains-rating-watch-negative-22-04-2022,,
76,76,Moody,KWG,,https://www.moodys.com/research/Moodys-downgrades-KWG-to-Caa1-Rating-Action--PR_465233,,
77,77,Moody,KWG,,https://www.moodys.com/research/Moodys-downgrades-KWGs-rating-to-B2-outlook-negative--PR_463421,,
78,78,Moody,KWG,,https://www.moodys.com/research/Moodys-downgrades-KWG-Property-Holdings-rating-to-B1-outlook-stable--PR_354268,,
79,79,Fitch,Ronshine,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-ronshine-to-ccc-on-increasing-liquidity-risks-23-03-2022,,
80,80,Fitch,Ronshine,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-ronshine-to-b-with-negative-outlook-22-02-2022,,
81,81,Fitch,Ronshine,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-ronshine-to-b-outlook-negative-removes-from-uco-01-11-2021,,
82,82,Moody,Ronshine,,https://www.moodys.com/research/Moodys-downgrades-Ronshines-ratings-to-CaC-outlook-remains-negative--PR_467824,,
83,83,Moody,Ronshine,,https://www.moodys.com/research/Moodys-downgrades-Ronshines-ratings-to-Caa1Caa2-outlook-remains-negative--PR_464282,,
84,84,Moody,Ronshine,,https://www.moodys.com/research/Moodys-downgrades-Ronshine-to-B3Caa1-outlook-negative--PR_461260,,
85,85,Moody,Ronshine,,https://www.moodys.com/research/Moodys-downgrades-Ronshines-Rating-Action--PR_454429,,
86,86,Fitch,R&F,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-guangzhou-r-f-idr-to-rd-on-completion-of-exchange-offer-18-07-2022,,
87,87,Fitch,R&F,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-guangzhou-r-f-subsidiary-to-c-on-distressed-debt-exchange-21-06-2022,,
88,88,Fitch,R&F,,https://www.fitchratings.com/research/corporate-finance/fitch-downgrades-guangzhou-r-f-subsidiary-to-c-on-distressed-debt-exchange-off-rwn-17-12-2021,,
